read1,read2,ns-diff
4207,4319,-235.203572
4242,4305,-132.302009
4200,4291,-191.102902
4284,4284,0.000000
4662,4305,749.711384
4305,4312,-14.700223
4200,4242,-88.201339
4242,4284,-88.201339
4347,4760,-867.313170
4494,4277,455.706920
4242,4291,-102.901563
4277,4312,-73.501116
4235,4214,44.100670
4256,4277,-44.100670
4179,4298,-249.903795
4256,4305,-102.901563
4207,4291,-176.402679
4270,4263,14.700223
4228,4277,-102.901563
4263,4284,-44.100670
4228,4305,-161.702455
4480,4298,382.205804
4214,4312,-205.803125
4284,4256,58.800893
4228,4305,-161.702455
4256,4298,-88.201339
4235,4347,-235.203572
4529,4291,499.807590
4340,4305,73.501116
4270,4291,-44.100670
4228,4396,-352.805357
4263,4389,-264.604018
4326,4291,73.501116
4305,4249,117.601786
4354,4410,-117.601786
4368,4249,249.903795
4193,4277,-176.402679
4249,4270,-44.100670
4207,4270,-132.302009
4270,4228,88.201339
4529,4298,485.107366
4221,4396,-367.505581
4263,4284,-44.100670
4221,4305,-176.402679
4235,4382,-308.704688
4263,4256,14.700223
4228,4298,-147.002232
4347,4389,-88.201339
4242,4298,-117.601786
4228,4277,-102.901563
4179,4305,-264.604018
4410,4284,264.604018
4228,4298,-147.002232
4256,4270,-29.400446
4221,4256,-73.501116
4221,4305,-176.402679
4844,4263,1220.118527
4459,4270,396.906027
4235,4305,-147.002232
4375,4284,191.102902
4228,4284,-117.601786
4242,4263,-44.100670
4214,4319,-220.503348
4270,4284,-29.400446
4214,4291,-161.702455
4221,5068,-1778.727010
4221,4305,-176.402679
4242,4263,-44.100670
4207,4333,-264.604018
4291,4298,-14.700223
4431,4361,147.002232
4235,4333,-205.803125
4270,4298,-58.800893
4298,4277,44.100670
4207,4312,-220.503348
4298,4354,-117.601786
4312,4242,147.002232
4291,4270,44.100670
4221,4263,-88.201339
4277,4312,-73.501116
4235,4396,-338.105134
4235,4319,-176.402679
4242,4298,-117.601786
4249,4403,-323.404911
4452,4410,88.201339
4249,4319,-147.002232
4221,4284,-132.302009
4284,4298,-29.400446
4242,4298,-117.601786
4270,4298,-58.800893
4200,4340,-294.004464
4473,4291,382.205804
4235,4298,-132.302009
4242,4291,-102.901563
4200,4263,-132.302009
4214,4326,-235.203572
4207,4312,-220.503348
4249,4305,-117.601786
4221,4277,-117.601786
4256,4305,-102.901563
4235,4277,-88.201339
4501,4270,485.107366
4529,4277,529.208036
4284,4396,-235.203572
4361,4291,147.002232
4242,4368,-264.604018
4354,4396,-88.201339
4270,4305,-73.501116
4193,4298,-220.503348
4263,4270,-14.700223
4228,4284,-117.601786
4284,4319,-73.501116
4263,4305,-88.201339
4270,4263,14.700223
4235,4410,-367.505581
4298,4298,0.000000
4445,4347,205.803125
4270,4333,-132.302009
4249,4368,-249.903795
4235,4291,-117.601786
4333,4305,58.800893
4270,4270,0.000000
4921,4417,1058.416072
4270,4284,-29.400446
